score,count
15,1
28,2
29,1
34,1
36,18
39,2
40,1
41,1
43,7
45,6
58,1
80,3
89,2
108,1
110,1
137,2
138,1
140,1
145,1
155,2
156,2
164,1
171,1
172,1
174,1
175,2
177,1
179,2
184,1
185,1
186,1
188,1
189,1
191,2
192,3
193,2
194,3
195,1
196,1
197,3
198,2
199,4
200,2
201,3
202,2
203,1
204,1
205,2
206,3
208,2
209,3
210,2
211,2
212,4
213,2
214,2
215,3
216,6
217,6
218,2
219,1
220,4
221,5
222,9
223,7
224,5
225,5
226,5
228,4
229,5
230,8
231,8
232,6
233,11
234,8
235,5
236,3
237,8
238,15
239,15
240,14
241,12
242,14
243,5
244,5
245,9
246,20
247,27
248,21
249,21
250,15
251,11
252,5
253,19
254,27
255,35
256,35
257,21
258,13
259,11
260,8
261,14
262,46
263,72
264,48
265,41
266,20
267,11
268,12
269,29
270,72
271,98
272,79
273,50
274,22
275,20
276,18
277,27
278,116
279,145
280,102
281,62
282,25
283,20
284,20
285,45
286,191
287,197
288,172
289,101
290,39
291,26
292,57
293,108
294,318
295,332
296,249
297,111
298,66
299,32
300,93
301,584
302,707
303,498
304,283
305,166
306,91
307,34
308,12
309,1261
310,4809
311,960
312,459
313,189
314,103
315,56
316,22
317,16
318,14059
319,2357
320,759
321,286
322,125
323,76
324,41
325,16
326,6
327,24746
328,1962
329,462
330,183
331,81
332,45
333,18
334,5
335,6
336,7976
337,465
338,169
339,81
340,32
341,25
342,11
343,4
344,3
345,4663
346,320
347,63
348,35
349,24
350,15
351,7
352,3
353,1
354,131
355,23
356,18
357,11
358,10
359,12
360,6
362,1
363,6
364,10
365,11
366,10
367,5
368,3
372,1
373,3
374,4
375,4
376,5
377,2
379,1
381,1
383,4
385,3
386,1
387,1
388,1
390,5
392,2
393,4
394,2
395,1
396,1
399,1
401,1
402,1
410,1
