score,count
1,2
2,15
3,25
4,27
5,149
6,223
7,310
8,260
9,240
10,880
11,575
12,608
13,475
14,691
15,716
16,900
17,656
18,564
19,614
20,538
21,632
22,611
23,679
24,682
25,589
26,529
27,516
28,515
29,418
30,449
31,369
32,468
33,363
34,351
35,365
36,265
37,269
38,275
39,243
40,210
41,205
42,201
43,189
44,184
45,144
46,137
47,139
48,122
49,116
50,114
51,143
52,90
53,95
54,79
55,70
56,58
57,65
58,60
59,56
60,32
61,41
62,45
63,32
64,30
65,25
66,23
67,27
68,17
69,16
70,20
71,14
72,15
73,17
74,13
75,18
76,3
77,7
78,10
79,8
80,3
81,7
82,9
83,5
84,2
85,7
86,4
87,1
88,2
89,4
90,3
91,2
92,4
93,2
94,1
95,1
96,1
98,2
100,1
101,3
105,1
107,1
