score,count
1,1
2,4
3,16
4,17
5,83
6,116
7,181
8,183
9,170
10,473
11,353
12,285
13,345
14,444
15,430
16,518
17,462
18,383
19,386
20,459
21,375
22,366
23,402
24,300
25,289
26,251
27,330
28,290
29,311
30,277
31,266
32,206
33,202
34,287
35,218
36,189
37,154
38,146
39,133
40,111
41,174
42,78
43,121
44,95
45,66
46,66
47,103
48,71
49,44
50,42
51,34
52,130
53,43
54,39
55,101
56,32
57,31
58,22
59,14
60,29
61,51
62,24
63,12
64,13
65,12
66,14
67,14
68,8
69,10
70,13
71,7
72,5
73,4
74,6
75,6
76,5
77,7
78,5
79,3
80,4
81,4
82,3
83,1
84,2
85,2
86,2
88,2
90,2
93,1
94,3
96,1
98,1
99,1
101,1
105,2
106,1
